Bill Number,Title,Session,Status,Issue,TAN Status,Committee,All Org Action Alerts,Hosted AAs,#Actions,Co-hosted AAs,#Actions,Promoted AAs,#Actions,# Total Actions,# Total Click Throughs,Org's Most Recently Published AA,OMRP Date,OMRP Committee,Created By
"=HYPERLINK(""https://www.takeaction.network/bills/6149"", ""1046"")",Expanding housing supply by supporting the ability of public housing au,2023,C 133 L 23,Housing,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1046&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6149"", ""1046"")",Expanding housing supply by supporting the ability of public housing au,2024,C 133 L 23,Housing,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1046&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6170"", ""1054"")",Addressing the authority of owners' associations in common interest com,2023,C 139 L 24,Housing,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1054&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6170"", ""1054"")",Addressing the authority of owners' associations in common interest com,2024,C 139 L 24,Housing,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1054&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6189"", ""1062"")",Concerning deception by law enforcement officers during custodial inter,2023,H Rules R,Police Accountability,on_rules_review_list_for_2nd_reading,House Rules,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1062&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6189"", ""1062"")",Concerning deception by law enforcement officers during custodial inter,2024,H Rules R,Police Accountability,on_rules_review_list_for_2nd_reading,House Rules,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1062&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""2"")",2,18,0,0,0,0,18,25,"=HYPERLINK(""https://www.takeaction.network/xactions/34598"", ""Support  HB 1062 (Concerning deception by law enforcement officers during custodial interrogations): Sign in 'Pro' for House Appropriations's Public Hearing"")",01/30/2024,House Appropriations,Camille B.
"=HYPERLINK(""https://www.takeaction.network/bills/6201"", ""1074"")",Addressing documentation and processes governing landlords' claims for ,2023,C 331 L 23,Housing,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1074&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""4"")",3,24,0,0,1,87,111,133,"=HYPERLINK(""https://www.takeaction.network/xactions/33431"", ""Appreciation to: Rep. Thai, prime sponsor of Transparency for Renters Around Deductions from their Security Deposit "")",04/19/2023,,Daniel W.
"=HYPERLINK(""https://www.takeaction.network/bills/6201"", ""1074"")",Addressing documentation and processes governing landlords' claims for ,2024,C 331 L 23,Housing,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1074&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6205"", ""1078"")",Concerning urban forest management ordinances.,2023,H Rules X,Environment,rules_x,House Rules,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1078&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""1"")",0,0,0,0,1,46,46,23,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6205"", ""1078"")",Concerning urban forest management ordinances.,2024,H Rules X,Environment,rules_x,House Rules,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1078&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6232"", ""1084"")",Concerning freight mobility prioritization.,2023,C 167 L 23,,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1084&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6232"", ""1084"")",Concerning freight mobility prioritization.,2024,C 167 L 23,,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1084&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6233"", ""1085"")",Reducing plastic pollution.,2023,C 135 L 23,Environment,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1085&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""4"")",2,8,0,0,2,133,141,140,"=HYPERLINK(""https://www.takeaction.network/xactions/33418"", ""Appreciation to: Rep. Mena for HB 1085 and HB 1329"")",04/17/2023,,Daniel W.
"=HYPERLINK(""https://www.takeaction.network/bills/6233"", ""1085"")",Reducing plastic pollution.,2024,C 135 L 23,Environment,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1085&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6241"", ""1087"")",Concerning solitary confinement.,2023,H Approps,Criminal Justice Reform,in_committee,House Appropriations,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1087&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""2"")",0,0,0,0,2,121,121,126,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6241"", ""1087"")",Concerning solitary confinement.,2024,H Approps,Criminal Justice Reform,in_committee,House Appropriations,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1087&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6249"", ""1094"")",Creating the Washington future fund program.,2023,H Approps,Tax Fairness / Income Equality,in_committee,House Appropriations,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1094&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6249"", ""1094"")",Creating the Washington future fund program.,2024,H Approps,Tax Fairness / Income Equality,in_committee,House Appropriations,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1094&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6295"", ""1110"")",Increasing middle housing in areas traditionally dedicated to single-fa,2023,C 332 L 23,Housing,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1110&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""9"")",5,37,0,0,4,301,338,383,"=HYPERLINK(""https://www.takeaction.network/xactions/33414"", ""Support Middle Housing and Urge the Legislature to Concur on HB 1110"")",04/17/2023,,Daniel W.
"=HYPERLINK(""https://www.takeaction.network/bills/6295"", ""1110"")",Increasing middle housing in areas traditionally dedicated to single-fa,2024,C 332 L 23,Housing,signed_by_governor,,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1110&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6296"", ""1111"")",Concerning housing benefit districts.,2023,H Cap Budget,Housing,in_committee,House Capital Budget,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1111&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6296"", ""1111"")",Concerning housing benefit districts.,2024,H Cap Budget,Housing,in_committee,House Capital Budget,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1111&x_search%5Bend_date%5D=Dec+01+2024&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2023"", ""0"")",0,0,0,0,0,0,0,0,,,,
"=HYPERLINK(""https://www.takeaction.network/bills/6310"", ""1124"")",Protecting tenants from excessive rent and related fees by providing at,2023,H Rules X,Housing,rules_x,House Rules,"=HYPERLINK(""https://www.takeaction.network/xactions?x_search%5Bbills_string%5D=1124&x_search%5Bend_date%5D=Dec+01+2023&x_search%5Borgs_string%5D=631&x_search%5Bstart_date%5D=Dec+01+2022"", ""0"")",0,0,0,0,0,0,0,0,,,,
